chrom	start	end	type	support	median_sv_len	reads	genes
chr8	22105740	22105761	SOFTCLIP	28	43	034dc11d-4dfe-4da1-ba25-1a30d2e4f704,070c8845-0dd9-4804-be02-084a81ead38b,103ea9df-f3b2-4fb9-aca5-aa50fd7c0d49,16c67755-354f-4d3f-aaeb-990b265a2db5,21155a9b-8981-4556-8c2a-a9372837cb2f,28c3c9cf-9532-47b5-8a52-06cdbcc06f54,2b53bca1-5145-4032-a8d9-ef3bf1d8b891,313a6136-eb95-4d93-b397-3a8fc2817eda,39554dbe-7f6b-4e7f-b77c-3e05d4b0b260,3974d135-e036-424e-b484-e68f999274da,527017aa-317a-438a-a6c6-449b44634915,5dd5a1cf-baa4-467d-baa5-4218e055b408,6984034f-56d7-4fab-8f34-772e6591817b,69fc7f7d-2d70-4f61-9bb7-a9b54af2f567,840942da-803f-4541-93c2-921788aa2daa,852416a2-ce45-4e8c-9c51-4247dc1eb167,899c0fe9-5672-4c3a-891a-c16bd442c74e,93227682-f0d9-4f02-acc7-4d1a94db8561,9bb3ed13-14f9-47ec-b01a-bc1752731a58,a0fc905a-b8c4-4db5-bbc4-3f6848f0be01,a9b91992-d804-416c-a6bd-9676e6fef4f7,ab32da09-fc1e-47d9-8a84-f2faa2687ef4,ad4bd870-7535-498f-b0f9-1a9f1038aa04,c0c4ca3e-8deb-4763-9174-4841dfc34510,dfa374e7-6f7c-46d7-8ada-5bc767687efd,eeb45235-5f75-451c-b216-b034d889985e,f205ec63-c5f0-4c99-b760-cf94a52e8d4c,fc7c630d-34fe-41dc-be3f-2ca24c61fbe1	
chr8	22105747	22105855	DEL	8	2	070c8845-0dd9-4804-be02-084a81ead38b,1ccb6308-4961-42d6-a25b-8eca92dcf019,313a6136-eb95-4d93-b397-3a8fc2817eda,39554dbe-7f6b-4e7f-b77c-3e05d4b0b260,5dd5a1cf-baa4-467d-baa5-4218e055b408,ad4bd870-7535-498f-b0f9-1a9f1038aa04,c0c4ca3e-8deb-4763-9174-4841dfc34510,d8ca4263-1004-4110-bd75-0b1e43f5e4da	
chr8	22105753	22105840	INS	6	1	034dc11d-4dfe-4da1-ba25-1a30d2e4f704,103ea9df-f3b2-4fb9-aca5-aa50fd7c0d49,3974d135-e036-424e-b484-e68f999274da,6984034f-56d7-4fab-8f34-772e6591817b,ad4bd870-7535-498f-b0f9-1a9f1038aa04,fc7c630d-34fe-41dc-be3f-2ca24c61fbe1	
chr8	22105959	22106172	DEL	20	1	034dc11d-4dfe-4da1-ba25-1a30d2e4f704,0934dc43-c854-492b-b1f4-4f41cbbbb5aa,103ea9df-f3b2-4fb9-aca5-aa50fd7c0d49,16c67755-354f-4d3f-aaeb-990b265a2db5,1ccb6308-4961-42d6-a25b-8eca92dcf019,21155a9b-8981-4556-8c2a-a9372837cb2f,28c3c9cf-9532-47b5-8a52-06cdbcc06f54,39554dbe-7f6b-4e7f-b77c-3e05d4b0b260,3974d135-e036-424e-b484-e68f999274da,527017aa-317a-438a-a6c6-449b44634915,5dd5a1cf-baa4-467d-baa5-4218e055b408,69fc7f7d-2d70-4f61-9bb7-a9b54af2f567,840942da-803f-4541-93c2-921788aa2daa,9bb3ed13-14f9-47ec-b01a-bc1752731a58,a0fc905a-b8c4-4db5-bbc4-3f6848f0be01,ab32da09-fc1e-47d9-8a84-f2faa2687ef4,ad4bd870-7535-498f-b0f9-1a9f1038aa04,dfa374e7-6f7c-46d7-8ada-5bc767687efd,f205ec63-c5f0-4c99-b760-cf94a52e8d4c,fc7c630d-34fe-41dc-be3f-2ca24c61fbe1	
chr8	22105966	22105988	INS	16	1	070c8845-0dd9-4804-be02-084a81ead38b,16c67755-354f-4d3f-aaeb-990b265a2db5,21155a9b-8981-4556-8c2a-a9372837cb2f,28c3c9cf-9532-47b5-8a52-06cdbcc06f54,313a6136-eb95-4d93-b397-3a8fc2817eda,527017aa-317a-438a-a6c6-449b44634915,5dd5a1cf-baa4-467d-baa5-4218e055b408,6984034f-56d7-4fab-8f34-772e6591817b,852416a2-ce45-4e8c-9c51-4247dc1eb167,899c0fe9-5672-4c3a-891a-c16bd442c74e,9bb3ed13-14f9-47ec-b01a-bc1752731a58,a9b91992-d804-416c-a6bd-9676e6fef4f7,ad4bd870-7535-498f-b0f9-1a9f1038aa04,c0c4ca3e-8deb-4763-9174-4841dfc34510,d8ca4263-1004-4110-bd75-0b1e43f5e4da,dfa374e7-6f7c-46d7-8ada-5bc767687efd	
chr8	22106036	22106077	SOFTCLIP	3	2	070c8845-0dd9-4804-be02-084a81ead38b,852416a2-ce45-4e8c-9c51-4247dc1eb167,d8ca4263-1004-4110-bd75-0b1e43f5e4da	
chr8	22106120	22106157	INS	11	1	034dc11d-4dfe-4da1-ba25-1a30d2e4f704,0934dc43-c854-492b-b1f4-4f41cbbbb5aa,21155a9b-8981-4556-8c2a-a9372837cb2f,28c3c9cf-9532-47b5-8a52-06cdbcc06f54,69fc7f7d-2d70-4f61-9bb7-a9b54af2f567,ad4bd870-7535-498f-b0f9-1a9f1038aa04,c0c4ca3e-8deb-4763-9174-4841dfc34510,dfa374e7-6f7c-46d7-8ada-5bc767687efd,eeb45235-5f75-451c-b216-b034d889985e,f205ec63-c5f0-4c99-b760-cf94a52e8d4c,fc7c630d-34fe-41dc-be3f-2ca24c61fbe1	
chr8	22106277	22106336	DEL	6	1	0934dc43-c854-492b-b1f4-4f41cbbbb5aa,5dd5a1cf-baa4-467d-baa5-4218e055b408,69fc7f7d-2d70-4f61-9bb7-a9b54af2f567,93227682-f0d9-4f02-acc7-4d1a94db8561,ab32da09-fc1e-47d9-8a84-f2faa2687ef4,c0c4ca3e-8deb-4763-9174-4841dfc34510	
chr8	22106277	22106352	INS	3	1	28c3c9cf-9532-47b5-8a52-06cdbcc06f54,ad4bd870-7535-498f-b0f9-1a9f1038aa04,fc7c630d-34fe-41dc-be3f-2ca24c61fbe1	
chr8	22106364	22106412	SOFTCLIP	3	3	6984034f-56d7-4fab-8f34-772e6591817b,93227682-f0d9-4f02-acc7-4d1a94db8561,eeb45235-5f75-451c-b216-b034d889985e	
chr8	22106388	22106573	DEL	18	3	034dc11d-4dfe-4da1-ba25-1a30d2e4f704,0934dc43-c854-492b-b1f4-4f41cbbbb5aa,103ea9df-f3b2-4fb9-aca5-aa50fd7c0d49,1ccb6308-4961-42d6-a25b-8eca92dcf019,21155a9b-8981-4556-8c2a-a9372837cb2f,28c3c9cf-9532-47b5-8a52-06cdbcc06f54,313a6136-eb95-4d93-b397-3a8fc2817eda,3974d135-e036-424e-b484-e68f999274da,527017aa-317a-438a-a6c6-449b44634915,5dd5a1cf-baa4-467d-baa5-4218e055b408,69fc7f7d-2d70-4f61-9bb7-a9b54af2f567,9bb3ed13-14f9-47ec-b01a-bc1752731a58,a0fc905a-b8c4-4db5-bbc4-3f6848f0be01,ab32da09-fc1e-47d9-8a84-f2faa2687ef4,ad4bd870-7535-498f-b0f9-1a9f1038aa04,c0c4ca3e-8deb-4763-9174-4841dfc34510,dfa374e7-6f7c-46d7-8ada-5bc767687efd,f205ec63-c5f0-4c99-b760-cf94a52e8d4c	
chr8	22106419	22106456	INS	4	2	313a6136-eb95-4d93-b397-3a8fc2817eda,5dd5a1cf-baa4-467d-baa5-4218e055b408,9bb3ed13-14f9-47ec-b01a-bc1752731a58,ad4bd870-7535-498f-b0f9-1a9f1038aa04	
chr8	22106515	22106575	INS	6	1	103ea9df-f3b2-4fb9-aca5-aa50fd7c0d49,1ccb6308-4961-42d6-a25b-8eca92dcf019,21155a9b-8981-4556-8c2a-a9372837cb2f,3974d135-e036-424e-b484-e68f999274da,5dd5a1cf-baa4-467d-baa5-4218e055b408,dfa374e7-6f7c-46d7-8ada-5bc767687efd	
chr8	22106645	22106654	DEL	3	1	103ea9df-f3b2-4fb9-aca5-aa50fd7c0d49,527017aa-317a-438a-a6c6-449b44634915,c0c4ca3e-8deb-4763-9174-4841dfc34510	
chr8	22106716	22106717	DEL	2	2	3974d135-e036-424e-b484-e68f999274da,9bb3ed13-14f9-47ec-b01a-bc1752731a58	
